date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:53	1557/1557	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/dashboard/dashboard.css	E:/b/getbootstrap.com/examples/dashboard/dashboard.css	(from http://getbootstrap.com/examples/dashboard/)
07:58:54	793/793	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/signin/signin.css	E:/b/getbootstrap.com/examples/signin/signin.css	(from http://getbootstrap.com/examples/signin/)
07:58:54	21934/21934	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/js/vendor/holder.min.js	E:/b/getbootstrap.com/assets/js/vendor/holder.min.js	(from http://getbootstrap.com/examples/carousel/)
07:58:55	2257/2257	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/justified-nav/justified-nav.css	E:/b/getbootstrap.com/examples/justified-nav/justified-nav.css	(from http://getbootstrap.com/examples/justified-nav/)
07:58:55	602/602	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/sticky-footer/sticky-footer.css	E:/b/getbootstrap.com/examples/sticky-footer/sticky-footer.css	(from http://getbootstrap.com/examples/sticky-footer/)
07:58:55	2409/2409	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/blog/blog.css	E:/b/getbootstrap.com/examples/blog/blog.css	(from http://getbootstrap.com/examples/blog/)
07:58:56	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Dec%202015%2000:58:56%20GMT	http://getbootstrap.com/examples/sticky-footer-navbar	E:/b/getbootstrap.com/examples/sticky-footer-navbar	(from http://getbootstrap.com/examples/sticky-footer/)
07:58:57	678/678	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/sticky-footer-navbar/sticky-footer-navbar.css	E:/b/getbootstrap.com/examples/sticky-footer-navbar/sticky-footer-navbar.css	(from http://getbootstrap.com/examples/sticky-footer-navbar/)
07:58:57	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Dec%202015%2000:58:58%20GMT	http://getbootstrap.com/examples/sticky-footer	E:/b/getbootstrap.com/examples/sticky-footer	(from http://getbootstrap.com/examples/sticky-footer-navbar/)
07:58:58	5208/5208	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/non-responsive/non-responsive.css	E:/b/getbootstrap.com/examples/non-responsive/non-responsive.css	(from http://getbootstrap.com/examples/non-responsive/)
07:58:58	990/990	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/offcanvas/offcanvas.css	E:/b/getbootstrap.com/examples/offcanvas/offcanvas.css	(from http://getbootstrap.com/examples/offcanvas/)
07:58:59	140/140	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/offcanvas/offcanvas.js	E:/b/getbootstrap.com/examples/offcanvas/offcanvas.js	(from http://getbootstrap.com/examples/offcanvas/)
07:59:49	1688588/1688588	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/js/customize.min.js	E:/b/getbootstrap.com/assets/js/customize.min.js	(from http://getbootstrap.com/customize/)
